ID,Population,Service Area,Unlinked Passenger Miles,Passenger Trips,Total Federal Funding,Total State Funding,Total Local Funding,Name,State,FTA Region,Primary UZA Name,Primary UZA Code,Agency Type,Operating,Other Fund Amt,Program Description,Program Type,5309 - Capital Program Amt,Program Description,Program Type,5307 - UAF Amt,Program Description,Program Type,Other FTA Funds Amt,Program Description,Program Type,Usdot Grant Amt,Program Description,Program Type,5303 - FTA Metro Planning Amt,Program Description,Program Type,5308 - FTA Cleans Fuels Amt,Program Description,Program Type,5310 - FTA Capital Invest Amt,Program Description,Program Type,5310 - FTA Operating Assit Amt,Program Description,Program Type,5310 - FTA Capital Oper Amt,Program Description,Program Type,Other FTA Amount,Program Description,Program Type,5316 - FTA Job Access Rev Com,Program Description,Program Type,5311 - FTA Capital Invest Amt,Program Description,Program Type,5311 - FTA Operating Assit Amt,Program Description,Program Type,5311 - FTA Capital Oper Amt,Program Description,Program Type,5317 - FTA Capital Invest Amt,Program Description,Program Type,5317 - FTA Operating Assit Amt,Program Description,Program Type,5317 - FTA Capital Oper Amt,Program Description,Program Type,5320 - FTA Park Transit Amt,Program Description,Program Type,5309 - ARRA Guideway Amt,Program Description,Program Type,5309 - ARRA Capital Amt,Program Description,Program Type,5307 - ARRA UAP Amt,Program Description,Program Type,5307 - ARRA Capital Amt,Program Description,Program Type,5311 - ARRA Other UAP Amt,Program Description,Program Type,5311 - ARRA Other Capital Amt,Program Description,Program Type,ARRA Tigger Amt,Program Description,Program Type,ARRA Tiggger Multimod Discre Fund,Program Description,Program Type,Spent on Intercity - ARRA 5311 grants for operating expenses and,Program Description,Program Type,Spent on Operating - ARRA Other than Urbanized Area Formula fund,Program Description,Program Type,Spent on Operating - ARRA Tribal Transit funds (§5311),Program Description,Program Type,Spent on Operating - FTA Special Needs of Elderly Individuals an,Program Description,Program Type,Spent on Operating - FTA Capital Program funds (§5309),Program Description,Program Type,Spent on Operating - FTA New Freedom Program funds (§5317),Program Description,Program Type,Spent on Operating - FTA Job Access and Reverse Commute Formula,Program Description,Program Type,Spent on Operating - FTA Other than Urbanized Area Formula funds,Program Description,Program Type,Spent on Operating - FTA Alternative Transportation in Parks and,Program Description,Program Type,Spent on Operating - FTA Tribal Transit funds (§5311),Program Description,Program Type,Spent on Intercity - 5311 grants for operating expenses and prov,Program Description,Program Type,Spent on Operating - Other Federal funds,Program Description,Program Type,Spent on Operating - Other FTA funds,Program Description,Program Type,Capital,Other Fund Amt,Program Description,Program Type,5309 - Capital Program Amt,Program Description,Program Type,5307 - UAF Amt,Program Description,Program Type,Other FTA Funds Amt,Program Description,Program Type,Usdot Grant Amt,Program Description,Program Type,5303 - FTA Metro Planning Amt,Program Description,Program Type,5308 - FTA Cleans Fuels Amt,Program Description,Program Type,5310 - FTA Capital Invest Amt,Program Description,Program Type,5310 - FTA Operating Assit Amt,Program Description,Program Type,5310 - FTA Capital Oper Amt,Program Description,Program Type,Other FTA Amount,Program Description,Program Type,5316 - FTA Job Access Rev Com,Program Description,Program Type,5311 - FTA Capital Invest Amt,Program Description,Program Type,5311 - FTA Operating Assit Amt,Program Description,Program Type,5311 - FTA Capital Oper Amt,Program Description,Program Type,5317 - FTA Capital Invest Amt,Program Description,Program Type,5317 - FTA Operating Assit Amt,Program Description,Program Type,5317 - FTA Capital Oper Amt,Program Description,Program Type,5320 - FTA Park Transit Amt,Program Description,Program Type,5309 - ARRA Guideway Amt,Program Description,Program Type,5309 - ARRA Capital Amt,Program Description,Program Type,5307 - ARRA UAP Amt,Program Description,Program Type,5307 - ARRA Capital Amt,Program Description,Program Type,5311 - ARRA Other UAP Amt,Program Description,Program Type,5311 - ARRA Other Capital Amt,Program Description,Program Type,ARRA Tigger Amt,Program Description,Program Type,ARRA Tiggger Multimod Discre Fund,Program Description,Program Type,Spent on Intercity - ARRA 5311 grants for planning and capital e,Program Description,Program Type,Spent on Capital - ARRA Other than Urbanized Area Formula funds,Program Description,Program Type,Spent on Capital - ARRA TIGGER (Greenhouse Gas and Energy Reduct,Program Description,Program Type,Spent on Capital - ARRA Tribal Transit funds (§5311),Program Description,Program Type,Spent on Capital - FTA Special Needs of Elderly Individuals and,Program Description,Program Type,Spent on Capital - FTA Capital Program funds (§5309),Program Description,Program Type,Spent on Capital - FTA New Freedom Program funds (§5317),Program Description,Program Type,Spent on Capital - FTA Job Access and Reverse Commute Formula Pr,Program Description,Program Type,Spent on Capital - FTA Other than Urbanized Area Formula funds (,Program Description,Program Type,Spent on Capital - FTA Alternative Transportation in Parks and P,Program Description,Program Type,Spent on Capital - FTA Tribal Transit funds (§5311),Program Description,Program Type,Spent on Intercity - 5311 grants for planning and capital expens,Program Description,Program Type,Spent on Capital - Other Federal funds,Program Description,Program Type,Spent on Capital - Other FTA funds,Program Description,Program Type
0001,"3,059,393",,,,,,,King County Department of Transportation - Metro Transit Division,WA,7,"Seattle, WA",14,,,62482193,,Other Discretionary Grants,36799729,,Formula-Based,267193805,,Formula-Based,50517583,,Other Discretionary Grants,76066,,Other Discretionary Grants,171117,,Formula-Based,2243333,,Other Discretionary Grants,267015,,Formula-Based,1162238,,Formula-Based,72443,,Formula-Based,0,,Other Discretionary Grants,4717752,,Formula-Based,1117245,,Formula-Based,2250660,,Formula-Based,267468,,Formula-Based,1456379,,Formula-Based,273960,,Formula-Based,359566,,Formula-Based,1556754,,Other Discretionary Grants,37961298,,ARRA Funds,146086803,,ARRA Funds,52456549,,ARRA Funds,1605801,,ARRA Funds,1203776,,ARRA Funds,242391,,ARRA Funds,4058671,,ARRA Funds,6797173,,ARRA Funds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other Discretionary Grants,,,Formula-Based,,,Formula-Based,,,Other Discretionary Grants,,,Other Discretionary Grants,,,Formula-Based,,,Other Discretionary Grants,,,Formula-Based,,,Formula-Based,,,Formula-Based,,,Other Discretionary Grants,,,Formula-Based,,,Formula-Based,,,Formula-Based,,,Formula-Based,,,Formula-Based,,,Formula-Based,,,Formula-Based,,,Other Discretionary Grants,,,ARRA Funds,,,ARRA Funds,,,ARRA Funds,,,ARRA Funds,,,ARRA Funds,,,ARRA Funds,,,ARRA Funds,,,ARRA Funds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0002,"387,847",,,,,,,Spokane Transit Authority,WA,5,"Spokane, WA",96,,,60911263,,Other Discretionary Grants,518904453,,Formula-Based,47494430,,Formula-Based,6118324,,Other Discretionary Grants,17042185,,Other Discretionary Grants,552165,,Formula-Based,489614,,Other Discretionary Grants,834500,,Formula-Based,635495,,Formula-Based,79204,,Formula-Based,0,,Other Discretionary Grants,1701615,,Formula-Based,279932,,Formula-Based,3847210,,Formula-Based,664868,,Formula-Based,780738,,Formula-Based,149951,,Formula-Based,212620,,Formula-Based,809561,,Other Discretionary Grants,13414281,,ARRA Funds,65333819,,ARRA Funds,172666694,,ARRA Funds,4609056,,ARRA Funds,2005681,,ARRA Funds,278811,,ARRA Funds,495362,,ARRA Funds,7442874,,ARRA Funds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other Discretionary Grants,,,Formula-Based,,,Formula-Based,,,Other Discretionary Grants,,,Other Discretionary Grants,,,Formula-Based,,,Other Discretionary Grants,,,Formula-Based,,,Formula-Based,,,Formula-Based,,,Other Discretionary Grants,,,Formula-Based,,,Formula-Based,,,Formula-Based,,,Formula-Based,,,Formula-Based,,,Formula-Based,,,Formula-Based,,,Other Discretionary Grants,,,ARRA Funds,,,ARRA Funds,,,ARRA Funds,,,ARRA Funds,,,ARRA Funds,,,ARRA Funds,,,ARRA Funds,,,ARRA Funds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0003,"3,059,393",,,,,,,Pierce County Transportation Benefit Area Authority,WA,10,"Seattle, WA",14,,,63286275,,Other Discretionary Grants,379695952,,Formula-Based,48505365,,Formula-Based,14412879,,Other Discretionary Grants,34695239,,Other Discretionary Grants,419102,,Formula-Based,2395296,,Other Discretionary Grants,1024576,,Formula-Based,1357861,,Formula-Based,27469,,Formula-Based,0,,Other Discretionary Grants,2943175,,Formula-Based,186327,,Formula-Based,4421564,,Formula-Based,5679,,Formula-Based,295478,,Formula-Based,151851,,Formula-Based,727017,,Formula-Based,356419,,Other Discretionary Grants,35021847,,ARRA Funds,122762839,,ARRA Funds,44898709,,ARRA Funds,1473516,,ARRA Funds,1563494,,ARRA Funds,90473,,ARRA Funds,3290577,,ARRA Funds,1532798,,ARRA Funds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other Discretionary Grants,,,Formula-Based,,,Formula-Based,,,Other Discretionary Grants,,,Other Discretionary Grants,,,Formula-Based,,,Other Discretionary Grants,,,Formula-Based,,,Formula-Based,,,Formula-Based,,,Other Discretionary Grants,,,Formula-Based,,,Formula-Based,,,Formula-Based,,,Formula-Based,,,Formula-Based,,,Formula-Based,,,Formula-Based,,,Other Discretionary Grants,,,ARRA Funds,,,ARRA Funds,,,ARRA Funds,,,ARRA Funds,,,ARRA Funds,,,ARRA Funds,,,ARRA Funds,,,ARRA Funds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0005,"3,059,393",,,,,,,Everett Transit,WA,0,"Seattle, WA",14,,,50053087,,Other Discretionary Grants,122301135,,Formula-Based,192882853,,Formula-Based,22370246,,Other Discretionary Grants,28053884,,Other Discretionary Grants,1310195,,Formula-Based,1314571,,Other Discretionary Grants,852866,,Formula-Based,544192,,Formula-Based,85020,,Formula-Based,0,,Other Discretionary Grants,575627,,Formula-Based,1939302,,Formula-Based,612825,,Formula-Based,485084,,Formula-Based,700267,,Formula-Based,792089,,Formula-Based,368325,,Formula-Based,1152827,,Other Discretionary Grants,21136098,,ARRA Funds,32874370,,ARRA Funds,21772056,,ARRA Funds,8027684,,ARRA Funds,2119351,,ARRA Funds,81883,,ARRA Funds,419582,,ARRA Funds,12374403,,ARRA Funds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other Discretionary Grants,,,Formula-Based,,,Formula-Based,,,Other Discretionary Grants,,,Other Discretionary Grants,,,Formula-Based,,,Other Discretionary Grants,,,Formula-Based,,,Formula-Based,,,Formula-Based,,,Other Discretionary Grants,,,Formula-Based,,,Formula-Based,,,Formula-Based,,,Formula-Based,,,Formula-Based,,,Formula-Based,,,Formula-Based,,,Other Discretionary Grants,,,ARRA Funds,,,ARRA Funds,,,ARRA Funds,,,ARRA Funds,,,ARRA Funds,,,ARRA Funds,,,ARRA Funds,,,ARRA Funds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0006,"129,534",,,,,,,Yakima Transit,WA,1,"Yakima, WA",248,,,31575581,,Other Discretionary Grants,113590382,,Formula-Based,121883861,,Formula-Based,16250833,,Other Discretionary Grants,46580438,,Other Discretionary Grants,737732,,Formula-Based,2150220,,Other Discretionary Grants,1703261,,Formula-Based,415476,,Formula-Based,13357,,Formula-Based,0,,Other Discretionary Grants,682816,,Formula-Based,101237,,Formula-Based,2552090,,Formula-Based,377737,,Formula-Based,444115,,Formula-Based,1025078,,Formula-Based,759852,,Formula-Based,1557644,,Other Discretionary Grants,32532813,,ARRA Funds,77133178,,ARRA Funds,167042550,,ARRA Funds,2961807,,ARRA Funds,1447061,,ARRA Funds,36851,,ARRA Funds,2970635,,ARRA Funds,6937257,,ARRA Funds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other Discretionary Grants,,,Formula-Based,,,Formula-Based,,,Other Discretionary Grants,,,Other Discretionary Grants,,,Formula-Based,,,Other Discretionary Grants,,,Formula-Based,,,Formula-Based,,,Formula-Based,,,Other Discretionary Grants,,,Formula-Based,,,Formula-Based,,,Formula-Based,,,Formula-Based,,,Formula-Based,,,Formula-Based,,,Formula-Based,,,Other Discretionary Grants,,,ARRA Funds,,,ARRA Funds,,,ARRA Funds,,,ARRA Funds,,,ARRA Funds,,,ARRA Funds,,,ARRA Funds,,,ARRA Funds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0007,"247,421",,,,,,,Lane Transit District,OR,7,"Eugene, OR",151,,,3958419,,Other Discretionary Grants,350516043,,Formula-Based,86860053,,Formula-Based,45922379,,Other Discretionary Grants,7370873,,Other Discretionary Grants,544388,,Formula-Based,708682,,Other Discretionary Grants,572246,,Formula-Based,1204501,,Formula-Based,135634,,Formula-Based,0,,Other Discretionary Grants,1550683,,Formula-Based,1601013,,Formula-Based,4171541,,Formula-Based,55092,,Formula-Based,483752,,Formula-Based,188060,,Formula-Based,189778,,Formula-Based,71030,,Other Discretionary Grants,21432520,,ARRA Funds,161880655,,ARRA Funds,123911196,,ARRA Funds,8209622,,ARRA Funds,1147316,,ARRA Funds,30085,,ARRA Funds,2288614,,ARRA Funds,15671204,,ARRA Funds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other Discretionary Grants,,,Formula-Based,,,Formula-Based,,,Other Discretionary Grants,,,Other Discretionary Grants,,,Formula-Based,,,Other Discretionary Grants,,,Formula-Based,,,Formula-Based,,,Formula-Based,,,Other Discretionary Grants,,,Formula-Based,,,Formula-Based,,,Formula-Based,,,Formula-Based,,,Formula-Based,,,Formula-Based,,,Formula-Based,,,Other Discretionary Grants,,,ARRA Funds,,,ARRA Funds,,,ARRA Funds,,,ARRA Funds,,,ARRA Funds,,,ARRA Funds,,,ARRA Funds,,,ARRA Funds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0008,"1,849,898",,,,,,,Tri-County Metropolitan Transportation District of Oregon,OR,9,"Portland, OR-WA",24,,,56697392,,Other Discretionary Grants,230476546,,Formula-Based,173784420,,Formula-Based,22357235,,Other Discretionary Grants,21300369,,Other Discretionary Grants,710810,,Formula-Based,1277341,,Other Discretionary Grants,915808,,Formula-Based,732005,,Formula-Based,123481,,Formula-Based,0,,Other Discretionary Grants,3674625,,Formula-Based,1178704,,Formula-Based,1173836,,Formula-Based,658462,,Formula-Based,1105188,,Formula-Based,162507,,Formula-Based,797476,,Formula-Based,1264902,,Other Discretionary Grants,36779287,,ARRA Funds,127383977,,ARRA Funds,179871982,,ARRA Funds,11186760,,ARRA Funds,562971,,ARRA Funds,279932,,ARRA Funds,4347073,,ARRA Funds,8114976,,ARRA Funds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other Discretionary Grants,,,Formula-Based,,,Formula-Based,,,Other Discretionary Grants,,,Other Discretionary Grants,,,Formula-Based,,,Other Discretionary Grants,,,Formula-Based,,,Formula-Based,,,Formula-Based,,,Other Discretionary Grants,,,Formula-Based,,,Formula-Based,,,Formula-Based,,,Formula-Based,,,Formula-Based,,,Formula-Based,,,Formula-Based,,,Other Discretionary Grants,,,ARRA Funds,,,ARRA Funds,,,ARRA Funds,,,ARRA Funds,,,ARRA Funds,,,ARRA Funds,,,ARRA Funds,,,ARRA Funds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0011,"349,684",,,,,,,Valley Regional Transit,ID,6,"Boise City, ID",108,,,33489399,,Other Discretionary Grants,61927362,,Formula-Based,209100103,,Formula-Based,16933757,,Other Discretionary Grants,12329865,,Other Discretionary Grants,1843656,,Formula-Based,3681452,,Other Discretionary Grants,1787965,,Formula-Based,886491,,Formula-Based,165204,,Formula-Based,0,,Other Discretionary Grants,997544,,Formula-Based,472012,,Formula-Based,1823776,,Formula-Based,708699,,Formula-Based,1388735,,Formula-Based,935811,,Formula-Based,813722,,Formula-Based,790311,,Other Discretionary Grants,11426669,,ARRA Funds,23813688,,ARRA Funds,175431837,,ARRA Funds,3351931,,ARRA Funds,1548625,,ARRA Funds,202430,,ARRA Funds,4895993,,ARRA Funds,16315084,,ARRA Funds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other Discretionary Grants,,,Formula-Based,,,Formula-Based,,,Other Discretionary Grants,,,Other Discretionary Grants,,,Formula-Based,,,Other Discretionary Grants,,,Formula-Based,,,Formula-Based,,,Formula-Based,,,Other Discretionary Grants,,,Formula-Based,,,Formula-Based,,,Formula-Based,,,Formula-Based,,,Formula-Based,,,Formula-Based,,,Formula-Based,,,Other Discretionary Grants,,,ARRA Funds,,,ARRA Funds,,,ARRA Funds,,,ARRA Funds,,,ARRA Funds,,,ARRA Funds,,,ARRA Funds,,,ARRA Funds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0012,"251,243",,,,,,,Municipality of Anchorage - Public Transportation Department,AK,10,"Anchorage, AK",149,,,37915751,,Other Discretionary Grants,529798776,,Formula-Based,279487442,,Formula-Based,10634627,,Other Discretionary Grants,27922066,,Other Discretionary Grants,582891,,Formula-Based,2847040,,Other Discretionary Grants,1756425,,Formula-Based,307327,,Formula-Based,220194,,Formula-Based,0,,Other Discretionary Grants,5047935,,Formula-Based,910911,,Formula-Based,4663493,,Formula-Based,635952,,Formula-Based,1017829,,Formula-Based,379313,,Formula-Based,788372,,Formula-Based,365904,,Other Discretionary Grants,16469048,,ARRA Funds,41433010,,ARRA Funds,80910889,,ARRA Funds,3437164,,ARRA Funds,1817974,,ARRA Funds,281437,,ARRA Funds,2387592,,ARRA Funds,14187979,,ARRA Funds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other Discretionary Grants,,,Formula-Based,,,Formula-Based,,,Other Discretionary Grants,,,Other Discretionary Grants,,,Formula-Based,,,Other Discretionary Grants,,,Formula-Based,,,Formula-Based,,,Formula-Based,,,Other Discretionary Grants,,,Formula-Based,,,Formula-Based,,,Formula-Based,,,Formula-Based,,,Formula-Based,,,Formula-Based,,,Formula-Based,,,Other Discretionary Grants,,,ARRA Funds,,,ARRA Funds,,,ARRA Funds,,,ARRA Funds,,,ARRA Funds,,,ARRA Funds,,,ARRA Funds,,,ARRA Funds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0016,"63,952",,,,,,,Cowlitz Transit Authority,WA,8,"Longview, WA-OR",431,,,54028691,,Other Discretionary Grants,120375341,,Formula-Based,76300601,,Formula-Based,40224186,,Other Discretionary Grants,53854545,,Other Discretionary Grants,482451,,Formula-Based,1541168,,Other Discretionary Grants,2438322,,Formula-Based,397003,,Formula-Based,115150,,Formula-Based,0,,Other Discretionary Grants,837610,,Formula-Based,54049,,Formula-Based,2032853,,Formula-Based,757606,,Formula-Based,1040955,,Formula-Based,898226,,Formula-Based,187811,,Formula-Based,1532274,,Other Discretionary Grants,26925955,,ARRA Funds,112468664,,ARRA Funds,116394689,,ARRA Funds,9185254,,ARRA Funds,632582,,ARRA Funds,250408,,ARRA Funds,1184857,,ARRA Funds,1222536,,ARRA Funds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other Discretionary Grants,,,Formula-Based,,,Formula-Based,,,Other Discretionary Grants,,,Other Discretionary Grants,,,Formula-Based,,,Other Discretionary Grants,,,Formula-Based,,,Formula-Based,,,Formula-Based,,,Other Discretionary Grants,,,Formula-Based,,,Formula-Based,,,Formula-Based,,,Formula-Based,,,Formula-Based,,,Formula-Based,,,Formula-Based,,,Other Discretionary Grants,,,ARRA Funds,,,ARRA Funds,,,ARRA Funds,,,ARRA Funds,,,ARRA Funds,,,ARRA Funds,,,ARRA Funds,,,ARRA Funds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
